Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
109,Indonesia,3900,1283,2629,4421,2090,2644,2014
110,Egipto,3826,940,2424,3706,3275,2557,2014
111,Nepal,3143,347,1785,3047,1982,2336,2014
112,Pakistán,2969,466,1753,2922,2232,3153,2014
113,India,2670,701,1713,2922,1602,6233,2014
1,Suiza,12603,5763,9261,12844,12764,14651,2015
2,Noruega,11859,4870,8443,11006,14145,9630,2015
3,Venezuela,11101,3413,7344,12843,9109,1190,2015
4,Islandia,10214,3586,6975,10376,10521,7084,2015
5,Dinamarca,10060,3471,6840,8859,11753,10570,2015
6,Australia,9932,4947,7496,9431,9063,11039,2015
7,Nueva Zelanda,9371,3576,6539,9251,8631,9099,2015
8,Singapur,9361,8462,8922,8152,5946,7540,2015
9,Kuwait,9297,4091,6753,11845,5459,8570,2015
10,Reino Unido,9219,3919,6629,8458,9597,9812,2015
11,Irlanda,9209,3747,6540,8514,9158,9572,2015
12,Luxemburgo,9178,6231,7738,7710,11063,11470,2015
13,Finlandia,8968,2987,6045,8430,9238,10117,2015
14,Francia,8837,3113,6040,8530,9106,9262,2015
15,Bélgica,8722,3096,5973,7954,9593,8616,2015
16,Países Bajos,8598,3550,6131,6682,10213,10202,2015
17,Suecia,8291,2749,5583,7872,8999,11095,2015
18,Corea del Sur,8290,3555,5976,9806,5251,8583,2015
19,Italia,8272,2571,5486,7143,9307,7935,2015
20,Canadá,8180,3308,5799,8741,7407,10507,2015
21,Japón,8036,2971,5561,8268,5051,9821,2015
22,Israel,7929,3026,5533,6919,8534,8818,2015
23,Austria,7687,2920,5357,7356,7043,10455,2015
24,Estados Unidos,7653,3617,5681,8181,6806,12609,2015
25,Alemania,7627,2716,5227,6485,7246,11184,2015
26,Hong Kong,7523,8109,7809,7946,5382,7493,2015
27,Catar,7400,7631,7513,6540,7814,11302,2015
28,Puerto Rico,7350,1970,4721,7635,6360,9443,2015
29,Chipre,7252,1620,4500,6606,7518,7105,2015
30,Ghana,7183,5415,6319,7339,5913,1417,2015
31,Grecia,6888,1192,4105,5820,7003,5189,2015
32,Malta,6881,1833,4414,5810,7593,7245,2015
33,Belice,6874,1144,4074,6391,4252,11998,2015
34,Uruguay,6855,2180,4571,6062,6457,4487,2015
35,Líbano,6761,3168,5005,5159,6743,5017,2015
36,Emiratos Árabes Unidos,6716,6686,6702,6030,6367,10459,2015
37,Argentina,6712,1826,4324,6147,6440,5938,2015
38,Zimbabue,6589,1980,4337,5942,5433,3340,2015
39,España,6570,2153,4411,5417,7109,7671,2015
40,Eslovenia,6515,1727,4175,5558,5403,6416,2015
41,Jamaica,6356,1478,3973,5942,4412,4353,2015
42,Costa Rica,6253,1822,4088,6435,5284,4814,2015
43,Rusia,6191,2873,4570,4988,7180,3886,2015
44,Jordania,6138,1527,3885,5086,5859,3867,2015
45,Estonia,6120,1617,3920,4898,5151,5144,2015
46,Mauricio,6010,2088,4093,5127,5230,6010,2015
47,Mozambique,5992,3418,4734,5271,7125,4120,2015
48,Nigeria,5940,2237,4130,5404,4960,4023,2015
49,Azerbaiyán,5913,3046,4512,5022,6469,2921,2015
50,Trinidad y Tobago,5908,2215,4104,6007,5101,4698,2015
51,Croacia,5892,1180,3590,5232,4636,5047,2015
52,Portugal,5822,1829,3871,4740,5107,5822,2015
53,Tanzania,5713,2962,4368,5821,3901,4716,2015
54,Taiwán,5706,1723,3760,6673,2788,6990,2015
55,Camboya,5705,1482,3641,6886,2607,1193,2015
56,Baréin,5617,3739,4699,5532,5419,5969,2015
57,República Dominicana,5595,1234,3464,5521,4416,2820,2015
58,Letonia,5594,1301,3496,4479,4718,4439,2015
59,Uzbekistán,5592,1374,3531,4989,4313,2316,2015
60,Brasil,5533,1853,3735,4431,4544,4116,2015
61,Panamá,5516,3122,4346,6103,4039,4334,2015
62,Kazajistán,5427,1941,3724,4437,5898,4348,2015
63,Omán,5420,2896,4187,4738,4445,10683,2015
64,Uganda,5390,834,3164,4984,2660,1691,2015
65,Namibia,5367,2068,3755,4669,5135,4286,2015
66,Palestina,5327,755,3093,4850,3597,4609,2015
67,Chile,5321,1712,3558,4777,4459,5511,2015
68,Honduras,5306,1012,3208,4971,3392,6264,2015
69,Birmania,5304,2747,4055,5938,2639,2118,2015
70,Lituania,5276,1359,3362,4455,3753,4686,2015
71,Libia,5212,1912,3599,5809,4766,4429,2015
72,Eslovaquia,5160,1742,3490,4694,3813,5605,2015
73,Etiopía,5147,1688,3456,5027,2476,1585,2015
74,El Salvador,5064,1059,3107,4445,3633,2867,2015
75,Guatemala,5042,1405,3265,5153,3575,3802,2015
76,Arabia Saudita,5035,1522,3319,4691,3483,12619,2015
77,Bielorrusia,5020,1764,3429,4538,5788,3582,2015
78,Kenia,5001,1711,3393,5055,3483,2874,2015
79,Turquía,4955,1150,3096,3994,3874,5363,2015
80,Perú,4943,1701,3358,4765,3429,3064,2015
81,Hungría,4890,952,2966,3930,3778,4685,2015
82,China,4889,2242,3596,5018,3652,4864,2015
83,República Checa,4850,1661,3292,4378,3304,6807,2015
84,Irak,4821,1797,3343,4185,4329,4120,2015
85,Montenegro,4809,959,2927,4034,4146,4024,2015
86,Nicaragua,4785,790,2833,4327,2834,2062,2015
87,Tailandia,4652,1672,3196,5274,2472,3875,2015
88,Malasia,4597,1341,3006,4588,2544,7354,2015
89,Sudáfrica,4558,1695,3159,4041,4152,10178,2015
90,Ecuador,4557,1401,3015,4626,2926,2800,2015
91,Polonia,4511,1513,3046,3650,3877,6349,2015
92,Irán,4453,1777,3146,4598,4007,3065,2015
93,Bulgaria,4357,949,2691,3850,3381,3988,2015
94,Serbia,4329,847,2628,3500,3720,3915,2015
95,Rumania,4239,1001,2657,3743,3506,4062,2015
96,Bosnia y Herzegovina,4230,731,2520,3752,2914,4474,2015
97,Albania,4195,855,2563,3410,3321,3479,2015
98,Vietnam,4186,1486,2867,3942,2269,2132,2015
99,Sri Lanka,4166,1074,2655,5079,2281,2824,2015
100,Ucrania,4129,1268,2731,3553,3818,2787,2015
101,México,4126,1171,2682,4235,3327,5951,2015
102,Armenia,4068,965,2552,3320,3271,2774,2015
103,Kosovo,4017,1476,2775,3052,2975,2919,2015
104,Bolivia,4002,1084,2576,3395,2601,4110,2015
105,Filipinas,4000,753,2413,4114,2313,3541,2015
106,Marruecos,3978,1026,2536,3482,3235,3549,2015
107,Georgia,3956,1194,2606,3182,3793,2621,2015
108,Indonesia,3935,1385,2689,4412,2191,2601,2015
109,Bangladés,3922,585,2291,4011,2552,3343,2015
110,Colombia,3892,1291,2621,3621,2961,3608,2015
111,Siria,3824,1035,2461,3537,3125,2311,2015
112,Macedonia del Norte,3741,702,2256,3199,2848,3548,2015
113,Egipto,3722,901,2343,3509,3204,2584,2015
114,Moldavia,3472,769,2151,2975,2838,2370,2015
115,Argelia,3410,783,2126,3395,2696,3694,2015
116,Túnez,3406,847,2156,3197,2326,3675,2015
117,Pakistán,3071,481,1805,3038,2350,3321,2015
