Puesto,País,Índice de Costo de Vida,Índice de Alquiler,Índice de Costo de Vida más Alquiler,Índice de Comestibles,Índice de Precios en Restaurantes,Índice de Poder Adquisitivo Local,Año
2,Suiza,13139,5384,9399,13334,13186,12615,2018
3,Islandia,12396,5463,9052,11895,13259,8784,2018
4,Noruega,11370,4085,7857,10652,12504,10795,2018
5,Bahamas,10068,3531,6916,8838,10208,7140,2018
6,Luxemburgo,9656,5987,7887,8498,10794,11673,2018
7,Dinamarca,9330,3662,6596,7246,11339,11753,2018
8,Singapur,9140,7189,8199,8364,6440,9589,2018
9,Japón,8658,2560,5717,9158,4916,10735,2018
10,Israel,8653,3557,6195,7244,9489,10230,2018
11,Irlanda,8545,4716,6698,6951,9316,9610,2018
12,Australia,8430,4185,6383,8066,8157,12298,2018
13,Francia,8386,2862,5722,7806,8187,10121,2018
14,Suecia,8370,2801,5684,7610,8667,11301,2018
15,Nueva Zelanda,8341,3379,5948,7698,7905,9861,2018
16,Bélgica,8335,2805,5668,7279,9325,9891,2018
17,Corea del Sur,8294,2339,5422,9967,4898,10936,2018
18,Países Bajos,8269,3621,6027,6583,9273,10948,2018
19,Finlandia,8170,2972,5663,6878,8689,11942,2018
20,Austria,8147,2928,5630,7677,7585,9869,2018
21,Italia,7906,2314,5209,6805,8474,8107,2018
22,Hong Kong,7872,7954,7912,8347,5617,8286,2018
23,Reino Unido,7585,3340,5538,6096,8387,10854,2018
24,Alemania,7435,2906,5251,5887,7121,12501,2018
25,Estados Unidos,7295,3852,5635,7393,6995,12762,2018
26,Canadá,7248,3082,5238,7144,6870,11892,2018
27,Malta,7092,2933,5086,5982,7514,6624,2018
28,Emiratos Árabes Unidos,6721,6072,6408,5559,6333,12478,2018
29,Puerto Rico,6699,1869,4370,6625,5572,10377,2018
30,Uruguay,6688,2003,4429,5451,6918,3431,2018
31,Taiwán,6542,1506,4113,7924,2886,10638,2018
32,Catar,6537,6533,6535,5750,6480,12505,2018
33,Grecia,6315,1182,3840,5087,6170,5380,2018
34,España,6175,2223,4269,5128,6056,9067,2018
35,Jamaica,6062,1247,3740,6025,3967,3526,2018
36,Chipre,6032,1544,3868,4967,6536,9478,2018
37,Líbano,6023,2793,4465,4615,5870,5636,2018
38,Ghana,5979,3279,4677,5489,3739,1595,2018
39,Eslovenia,5965,1550,3836,5078,4893,8033,2018
40,Baréin,5963,3105,4584,5799,5416,7229,2018
41,Palestina,5816,1029,3507,5443,4178,6019,2018
42,Estonia,5765,1581,3747,4380,5680,7482,2018
43,Kuwait,5690,3633,4698,4397,4848,10058,2018
44,Costa Rica,5620,1765,3761,5556,4589,5470,2018
45,Portugal,5586,2039,3875,4547,4683,6197,2018
46,Chile,5524,1661,3661,4780,5140,5453,2018
47,Jordania,5509,1207,3434,4654,5266,4343,2018
48,Croacia,5506,1202,3431,4633,4342,5977,2018
49,Mauricio,5504,1333,3492,4951,3937,4666,2018
50,Trinidad y Tobago,5457,1876,3730,5337,5033,5491,2018
51,Argentina,5374,1384,3450,4464,5369,6015,2018
52,Letonia,5342,1335,3410,4247,4805,5310,2018
53,Lituania,5324,1521,3490,4174,4886,5729,2018
54,Panamá,5241,2659,3996,5304,4430,3912,2018
55,Brasil,5133,1389,3327,3969,4121,4156,2018
56,Eslovaquia,5041,1886,3519,4366,3734,6729,2018
57,República Checa,5009,1907,3513,4362,3603,7635,2018
58,Zimbabue,4954,1229,3157,4430,3766,2729,2018
59,Omán,4931,2031,3532,4671,4617,9924,2018
60,Tailandia,4891,1710,3357,5490,2394,3859,2018
61,Hungría,4860,1537,3257,3861,3738,5062,2018
62,Sudáfrica,4805,1791,3351,4066,4574,9983,2018
63,República Dominicana,4790,1030,2977,4187,4365,2743,2018
64,El Salvador,4787,1145,3031,4679,3616,3092,2018
65,Arabia Saudita,4786,1350,3129,4204,3203,13146,2018
66,Etiopía,4755,2402,3620,3915,2021,1498,2018
67,Guatemala,4687,1459,3130,4462,3681,4130,2018
68,Zambia,4649,1950,3347,4041,3350,10126,2018
69,Camboya,4592,1355,3031,4933,2307,1494,2018
70,Polonia,4520,1663,3142,3585,3770,7442,2018
71,Tanzania,4497,1900,3245,3448,2936,2310,2018
72,Malasia,4473,1152,2872,4821,2322,7298,2018
73,China,4456,1838,3193,4773,2959,7228,2018
74,Montenegro,4441,1085,2822,3575,3808,4868,2018
75,Ecuador,4428,1118,2832,4285,3082,3939,2018
76,Honduras,4428,1064,2806,3658,3299,3486,2018
77,Rusia,4389,1661,3073,3590,4591,5111,2018
78,Irak,4388,1284,2891,3767,3840,5120,2018
79,Turquía,4180,1038,2665,3617,3123,5378,2018
80,Bulgaria,4121,981,2606,3520,3361,5444,2018
81,Indonesia,3974,850,2468,4352,1950,3749,2018
82,Rumania,3971,1085,2579,3283,3328,6620,2018
83,Perú,3964,1440,2747,3587,2629,3707,2018
84,Serbia,3959,844,2457,2995,3145,4181,2018
85,Vietnam,3944,1511,2771,3909,1996,3009,2018
86,Bosnia y Herzegovina,3926,694,2368,3376,2668,5240,2018
87,Kenia,3872,867,2423,3657,3161,3206,2018
88,Albania,3788,733,2315,3087,2908,3703,2018
89,Marruecos,3712,1146,2474,3326,2576,4507,2018
90,Bolivia,3653,987,2367,2884,2852,4468,2018
91,Filipinas,3599,804,2251,3430,2094,3402,2018
92,Colombia,3529,1013,2316,2952,2668,3859,2018
93,Macedonia del Norte,3484,691,2137,2873,2364,4255,2018
94,Nigeria,3465,1597,2564,3580,2206,1956,2018
95,Irán,3456,1590,2556,3100,2727,4560,2018
96,Sri Lanka,3432,833,2178,3838,1969,2956,2018
97,Kazajistán,3425,1123,2315,2806,3541,4075,2018
98,Bielorrusia,3406,1058,2274,2791,3576,4132,2018
99,México,3356,951,2196,3218,2948,5818,2018
100,Armenia,3345,881,2157,2775,3121,3178,2018
101,Moldavia,3310,875,2136,2664,2352,2927,2018
102,Uganda,3267,683,2021,2832,2317,2139,2018
103,Nepal,3262,443,1902,3018,1903,2533,2018
104,Venezuela,3221,762,2035,3383,2670,400,2018
105,Argelia,3213,605,1955,3380,1760,3598,2018
106,Bangladés,3199,555,1924,3025,2120,3957,2018
107,Azerbaiyán,3062,950,2043,2743,3059,2871,2018
108,Georgia,2966,976,2006,2459,2915,3550,2018
109,Kosovo,2944,865,1941,2629,2097,5923,2018
110,Siria,2781,512,1687,2623,2216,1132,2018
111,Túnez,2767,581,1713,2641,1705,3823,2018
112,India,2688,677,1718,2746,1834,7927,2018
113,Ucrania,2598,885,1772,2038,1862,3024,2018
114,Egipto,2569,507,1575,2301,2102,2467,2018
115,Pakistán,2508,529,1554,2381,1902,4111,2018
1,Suiza,12116,5025,8711,12081,12309,12970,2019
2,Islandia,10186,4828,7613,9210,11185,9180,2019
3,Noruega,10099,3728,7040,9267,11153,10361,2019
4,Bahamas,9240,3349,6411,7697,9992,5701,2019
5,Luxemburgo,8609,5564,7147,7510,9608,10626,2019
6,Japón,8333,2797,5675,8358,4875,10312,2019
7,Dinamarca,8138,3291,5811,6362,9514,11439,2019
8,Hong Kong,7814,7683,7751,8030,5608,6934,2019
9,Corea del Sur,7693,2223,5066,8970,4484,10340,2019
10,Irlanda,7535,4180,5924,5910,8265,9509,2019
11,Francia,7485,2625,5151,6831,7537,9155,2019
12,Países Bajos,7483,3474,5558,5880,8349,10254,2019
13,Israel,7428,2942,5274,6192,8083,9248,2019
14,Bélgica,7297,2581,5032,6086,8340,9509,2019
15,Finlandia,7282,2614,5040,6002,7791,11230,2019
16,Nueva Zelanda,7262,3164,5294,6571,6878,10109,2019
17,Australia,7208,3550,5452,6690,7069,12285,2019
18,Austria,7179,2763,5058,6563,7008,9670,2019
19,Suecia,7155,2605,4970,6345,7504,11138,2019
20,Estados Unidos,6991,3898,5506,6744,6933,12203,2019
21,Singapur,6979,5310,6177,5748,4675,10377,2019
22,Italia,6925,2168,4640,5834,7572,7749,2019
23,Alemania,6762,2685,4804,5427,6356,11620,2019
24,Reino Unido,6528,2860,4766,5185,7237,10573,2019
25,Canadá,6501,2832,4739,6237,6181,10944,2019
26,Puerto Rico,6384,1796,4181,6166,5482,9839,2019
27,Malta,6332,2868,4669,5123,6728,5967,2019
28,Taiwán,5984,2337,4233,6961,2688,5636,2019
29,Catar,5909,4656,5307,4772,6195,13829,2019
30,Jamaica,5880,1474,3764,5884,4226,3469,2019
31,Líbano,5806,2692,4311,4328,5679,5397,2019
32,Uruguay,5731,1621,3757,4511,5628,4777,2019
33,Baréin,5671,2956,4367,5116,5221,7461,2019
34,Grecia,5666,1080,3464,4369,5476,4957,2019
35,Emiratos Árabes Unidos,5616,4098,4887,4316,5388,11960,2019
36,Chipre,5557,2023,3860,4432,5976,7529,2019
37,Jordania,5498,1187,3428,4443,5228,4173,2019
38,España,5470,2073,3839,4402,5413,8380,2019
39,Eslovenia,5251,1536,3467,4327,4383,7538,2019
40,Mauricio,5244,1153,3280,4789,3914,3977,2019
41,Birmania,5238,2472,3909,5476,2024,1398,2019
42,Trinidad y Tobago,5207,1713,3529,5000,4600,5697,2019
43,Zimbabue,5157,1167,3241,4574,3681,2765,2019
44,Kuwait,5148,3294,4258,3988,4735,10201,2019
45,Panamá,5145,2463,3857,4821,4706,4134,2019
46,Ghana,5113,3157,4174,4476,3174,1870,2019
47,Estonia,5101,1538,3390,3706,5124,7597,2019
48,Fiyi,5093,2270,3738,5763,3646,3544,2019
49,Costa Rica,5089,1548,3389,4791,4258,4713,2019
50,Portugal,5039,2107,3631,4020,4313,5519,2019
51,Palestina,5020,900,3041,4390,3733,5717,2019
52,Belice,4945,881,2993,4286,3666,7085,2019
53,Letonia,4923,1202,3136,3665,4547,5516,2019
54,Croacia,4918,1160,3113,4033,4036,6033,2019
55,Chile,4773,1522,3212,4055,4515,5413,2019
56,Arabia Saudita,4761,1140,3022,3906,3093,11859,2019
57,Tailandia,4754,1771,3321,5000,2463,4086,2019
58,Camboya,4680,1444,3126,4415,2444,1246,2019
59,Omán,4620,1989,3357,4002,4441,8847,2019
60,El Salvador,4611,1419,3078,4557,3555,3009,2019
61,Lituania,4591,1290,3006,3536,4395,6034,2019
62,Nicaragua,4583,954,2840,4636,3114,2452,2019
63,República Checa,4512,1827,3223,3808,3325,7132,2019
64,Eslovaquia,4498,1613,3113,3850,3364,6324,2019
65,República Dominicana,4492,1021,2825,3568,4243,2602,2019
66,Namibia,4322,1746,3085,3992,3859,6360,2019
67,Brasil,4280,1146,2775,3130,3485,3743,2019
68,Sudáfrica,4249,1650,3001,3388,4079,8297,2019
69,Honduras,4210,1076,2705,3357,3152,3522,2019
70,Hungría,4203,1364,2840,3236,3343,5466,2019
71,Ecuador,4198,1161,2740,3787,2943,4084,2019
72,Guatemala,4174,1393,2839,3802,3228,4179,2019
73,Cuba,4050,811,2495,3430,2829,247,2019
74,Irak,3962,1146,2610,3410,3185,4761,2019
75,Montenegro,3961,995,2537,3075,3425,4628,2019
76,Malasia,3938,1092,2571,3970,2275,7314,2019
77,China,3924,1736,2873,3993,2818,6895,2019
78,Polonia,3913,1492,2750,3066,3272,7000,2019
79,Kenia,3821,1005,2469,3323,3122,3246,2019
80,Vietnam,3770,1310,2588,3787,1889,3333,2019
81,Bulgaria,3717,915,2372,3115,2986,5218,2019
82,Perú,3717,1196,2506,3269,2368,3747,2019
83,Rumania,3645,1000,2375,2988,3226,6116,2019
84,Indonesia,3624,843,2288,3814,1802,3295,2019
85,Albania,3617,821,2274,2859,2934,3381,2019
86,Irán,3580,1692,2673,3263,2688,3774,2019
87,Bosnia y Herzegovina,3572,632,2160,2881,2378,4918,2019
88,Rusia,3552,1268,2455,2918,3700,4538,2019
89,Serbia,3539,808,2227,2630,2784,3990,2019
90,Turquía,3521,723,2178,3045,2365,4533,2019
91,Filipinas,3509,809,2212,3261,1967,2946,2019
92,Tanzania,3474,1603,2576,2859,2515,2271,2019
93,Bolivia,3437,1088,2309,2690,2796,4405,2019
94,Marruecos,3398,948,2221,2985,2385,4140,2019
95,Bielorrusia,3312,996,2200,2777,3598,4464,2019
96,Argentina,3309,948,2175,2625,3250,5500,2019
97,México,3271,1006,2183,3030,3023,4998,2019
98,Armenia,3251,990,2165,2577,3253,3306,2019
99,Paraguay,3227,938,2128,2603,2575,3557,2019
100,Moldavia,3226,797,2060,2497,2771,3075,2019
101,Bangladés,3183,544,1916,2952,1897,3982,2019
102,Macedonia del Norte,3158,647,1952,2485,2367,3983,2019
103,Nigeria,3125,2897,3015,3176,1920,1513,2019
104,Argelia,3056,551,1853,3200,1638,3293,2019
105,Uganda,3025,851,1981,2609,2190,2272,2019
106,Sri Lanka,3024,757,1936,3357,1736,2734,2019
107,Colombia,3015,917,2007,2433,2246,3466,2019
108,Kazajistán,2983,978,2020,2375,2983,3883,2019
109,Nepal,2963,460,1761,2540,1974,2628,2019
110,Azerbaiyán,2912,872,1932,2408,3067,3201,2019
111,Georgia,2878,853,1905,2339,2709,3319,2019
112,Ucrania,2794,953,1910,2247,2214,3272,2019
113,Uzbekistán,2711,827,1806,2390,2114,2509,2019
114,Egipto,2646,501,1616,2319,2226,2367,2019
115,Kosovo,2618,805,1748,2321,1957,6182,2019
116,Venezuela,2573,589,1620,2758,2198,371,2019
117,India,2417,584,1537,2420,1715,6691,2019
118,Túnez,2369,496,1469,2227,1333,3799,2019
119,Pakistán,2040,450,1276,1825,1542,3861,2019
1,Suiza,12240,5025,8789,12027,12301,11953,2020
2,Noruega,10143,3615,7021,9114,10928,8838,2020
3,Islandia,10048,4695,7488,8689,11374,7944,2020
4,Japón,8335,2597,5590,8182,4895,8728,2020
5,Dinamarca,8300,3192,5857,6174,10075,10088,2020
6,Bahamas,8251,3636,6043,6265,8366,5418,2020
7,Luxemburgo,8189,5492,6899,6910,8985,10392,2020
8,Israel,8115,3133,5732,6631,8865,7809,2020
9,Singapur,8110,6327,7258,6675,5899,8896,2020
10,Corea del Sur,7818,2286,5172,9131,4487,8521,2020
11,Hong Kong,7722,7957,7835,7594,5436,6532,2020
12,Barbados,7602,1970,4908,6520,6814,5110,2020
13,Irlanda,7591,4388,6059,5835,8124,8088,2020
14,Francia,7414,2539,5082,6790,7254,8036,2020
15,Países Bajos,7375,3518,5530,5587,8048,9073,2020
16,Australia,7354,3486,5504,6723,7032,10731,2020
17,Nueva Zelanda,7253,3209,5319,6469,6880,9266,2020
18,Bélgica,7178,2543,4961,5866,8014,8628,2020
19,Seychelles,7159,3234,5281,6461,8486,2167,2020
20,Estados Unidos,7105,4032,5636,6661,7074,10952,2020
21,Austria,7038,2681,4954,6173,6809,8238,2020
22,Finlandia,7029,2616,4918,5652,7681,9993,2020
23,Suecia,6985,2590,4883,6047,7235,10173,2020
24,Canadá,6762,3073,4998,6368,6353,9509,2020
25,Puerto Rico,6754,1929,4446,6576,5868,7938,2020
26,Malta,6746,3104,5004,5490,7594,4632,2020
27,Reino Unido,6728,2985,4938,5127,7413,9173,2020
28,Italia,6726,2122,4524,5544,7232,6559,2020
29,Alemania,6526,2706,4699,4923,6158,10236,2020
30,Macao,6484,4398,5487,6200,4337,8090,2020
31,Catar,6404,4744,5610,5361,6683,11169,2020
32,Emiratos Árabes Unidos,6198,4107,5198,4763,6132,9158,2020
33,Taiwán,6137,1642,3987,7151,2849,6567,2020
34,Líbano,6050,2454,4330,4392,5816,4447,2020
35,Baréin,5894,3095,4555,4811,5455,5788,2020
36,Chipre,5793,2054,4005,4421,6311,5741,2020
37,Jamaica,5782,1525,3746,5896,3812,3237,2020
38,Grecia,5567,1168,3462,4163,5374,4368,2020
39,Zimbabue,5530,1102,3412,5080,4079,2603,2020
40,Palestina,5454,883,3268,4667,3893,4691,2020
41,Etiopía,5439,2090,3837,3630,1937,834,2020
42,Panamá,5416,2476,4009,5303,4727,3423,2020
43,Costa Rica,5398,1555,3560,4960,4351,4261,2020
44,España,5377,2177,3846,4238,5207,7203,2020
45,Trinidad y Tobago,5370,1726,3627,4943,4983,4570,2020
46,Jordania,5367,1154,3352,4332,4712,3488,2020
47,Eslovenia,5343,1709,3605,4376,4543,6631,2020
48,Mauricio,5304,1199,3341,4894,4396,3088,2020
49,Uruguay,5104,1443,3353,4012,4741,3746,2020
50,Estonia,5093,1541,3394,3657,5294,7130,2020
51,Kuwait,5037,3121,4121,3468,4708,8559,2020
52,Tailandia,4977,1710,3414,4920,2490,3545,2020
53,Croacia,4970,1350,3238,3990,4244,5042,2020
54,Portugal,4952,2181,3627,3814,4248,4943,2020
55,Omán,4928,1798,3431,4350,4426,8097,2020
56,Belice,4923,974,3034,4189,3705,5753,2020
57,Arabia Saudita,4834,1139,3067,3789,3351,10000,2020
58,Letonia,4794,1234,3091,3485,4288,5248,2020
59,Camboya,4749,1490,3190,4456,2519,1129,2020
60,Fiyi,4748,1855,3364,5267,3587,3317,2020
61,República Checa,4615,1956,3343,3813,3410,6282,2020
62,El Salvador,4557,1348,3022,4367,3480,2471,2020
63,Brunéi,4471,2308,3436,3711,3806,8695,2020
64,Nicaragua,4456,761,2688,4171,3141,2392,2020
65,Eslovaquia,4446,1611,3090,3751,3382,5694,2020
66,Lituania,4428,1365,2963,3363,4270,5785,2020
67,República Dominicana,4406,1062,2806,3593,3827,2395,2020
68,Chile,4362,1339,2916,3645,4157,4250,2020
69,Cuba,4346,484,2499,3740,3095,218,2020
70,Surinam,4314,779,2623,4578,3498,2239,2020
71,Namibia,4310,1612,3019,3680,3922,5565,2020
72,Sudáfrica,4287,1661,3031,3329,4058,7361,2020
73,Guatemala,4270,1529,2959,3741,3300,3983,2020
74,Honduras,4217,1060,2707,3333,3055,3026,2020
75,Birmania,4211,2378,3335,4468,1904,1022,2020
76,Ecuador,4098,1196,2710,3546,3066,3608,2020
77,Hungría,4085,1397,2799,3077,3446,4755,2020
78,Brasil,4022,1065,2608,2920,3078,3281,2020
79,Kenia,4021,1073,2611,3535,3506,2732,2020
80,China,4004,1638,2872,4037,2916,6088,2020
81,Polonia,4004,1567,2838,3055,3345,5961,2020
82,Rusia,3921,1136,2589,3108,3961,3894,2020
83,Botsuana,3913,1112,2573,3174,3998,5810,2020
84,Malasia,3912,1100,2567,3758,2294,6449,2020
85,Irak,3904,1128,2576,3185,3272,4243,2020
86,Irán,3901,1448,2728,3554,2512,2269,2020
87,Somalia,3868,475,2245,4588,2704,3324,2020
88,Perú,3865,1278,2628,3380,2469,3395,2020
89,Vietnam,3834,1357,2650,3706,1959,2814,2020
90,Montenegro,3823,1038,2491,2863,3316,3980,2020
91,Ghana,3765,1941,2893,3717,2659,1466,2020
92,Filipinas,3763,900,2394,3346,2084,2348,2020
93,Indonesia,3727,1062,2452,3736,1825,2505,2020
94,Bulgaria,3670,964,2375,3009,2914,4937,2020
95,Albania,3639,855,2307,2839,2675,2956,2020
96,Bosnia y Herzegovina,3597,672,2197,2808,2510,4183,2020
97,México,3572,1146,2411,3239,3212,4181,2020
98,Serbia,3572,908,2298,2546,2863,3672,2020
99,Rumania,3531,1005,2322,2903,3050,4886,2020
100,Tanzania,3525,1404,2511,2966,2257,1758,2020
101,Bielorrusia,3470,1050,2313,2806,3894,3700,2020
102,Turquía,3469,678,2134,2976,2416,4085,2020
103,Bolivia,3456,1093,2326,2809,2511,3934,2020
104,Marruecos,3432,894,2218,3011,2450,3525,2020
105,Moldavia,3370,840,2160,2596,2779,2757,2020
106,Ruanda,3335,1188,2308,2683,2917,1932,2020
107,Ucrania,3318,1046,2231,2601,2642,3180,2020
108,Argentina,3295,833,2117,2582,3052,4722,2020
109,Armenia,3284,1091,2235,2561,3043,2800,2020
110,Bangladés,3225,501,1922,2972,1921,3321,2020
111,Zambia,3172,739,2008,2686,2207,5414,2020
112,Sri Lanka,3161,774,2020,3509,1876,2445,2020
113,Macedonia del Norte,3159,649,1958,2494,2331,3715,2020
114,Paraguay,3110,966,2085,2503,2501,3260,2020
115,Nigeria,3100,2359,2745,3115,1771,1352,2020
116,Colombia,3066,958,2058,2505,2244,3112,2020
117,Kazajistán,3064,978,2066,2431,2987,3836,2020
118,Uganda,3018,1015,2060,2525,2214,2050,2020
119,Argelia,3010,534,1826,3071,1589,2869,2020
120,Azerbaiyán,2992,948,2015,2374,3036,3020,2020
121,Egipto,2954,549,1804,2550,2353,2241,2020
122,Nepal,2905,477,1744,2491,2036,2190,2020
123,Georgia,2848,980,1954,2305,2666,2488,2020
124,Kosovo,2847,847,1891,2653,2104,4890,2020
125,Venezuela,2717,681,1743,2829,2441,261,2020
126,Túnez,2704,551,1674,2525,1495,3445,2020
127,Kirguistán,2697,918,1846,2339,2145,2498,2020
128,Uzbekistán,2601,754,1718,2159,2017,2431,2020
129,Siria,2531,568,1592,2242,2138,1146,2020
130,India,2458,568,1554,2455,1717,5430,2020
131,Afganistán,2424,403,1458,1770,1738,2820,2020
132,Pakistán,2198,459,1366,1908,1678,3057,2020
1,Islas Bermudas,14507,9286,12013,14177,15770,8343,2021
2,Suiza,13175,5505,9510,13336,12608,11096,2021
3,Noruega,10609,3618,7268,10059,10590,7943,2021
4,Islandia,9677,4317,7116,8884,10224,7188,2021
5,Dinamarca,9167,3618,6516,7262,10492,9473,2021
6,Luxemburgo,8828,6162,7554,8071,9466,9538,2021
7,Japón,8777,2803,5923,9047,4974,7653,2021
8,Israel,8663,3190,6048,7368,9110,7036,2021
9,Bahamas,8585,3454,6133,6935,8929,4931,2021
10,Singapur,8559,6477,7564,7531,6207,8362,2021
11,Australia,8414,3838,6228,8114,7628,9929,2021
12,Irlanda,8311,4542,6510,6780,8234,7384,2021
13,Barbados,8149,2109,5263,7151,7285,4534,2021
14,Corea del Sur,8120,2291,5335,9984,4398,7660,2021
15,Francia,8062,2779,5538,7746,7548,7406,2021
16,Hong Kong,7994,7424,7722,8173,5860,6245,2021
17,Suecia,7917,2808,5476,7167,7723,9055,2021
18,Nueva Zelanda,7914,3538,5823,7503,6918,8144,2021
19,Seychelles,7892,3432,5761,7856,8424,1803,2021
20,Países Bajos,7864,3931,5985,6163,8162,8389,2021
21,Bélgica,7852,2684,5383,6733,8240,7654,2021
22,Finlandia,7746,2804,5385,6560,8122,8905,2021
23,Líbano,7588,2408,5113,7251,6289,2949,2021
24,Austria,7549,2842,5300,6762,7098,7823,2021
25,Malta,7361,3296,5419,6341,7704,4189,2021
26,Italia,7311,2291,4913,6246,7560,5870,2021
27,Estados Unidos,7192,4114,5721,7024,6942,10258,2021
28,Reino Unido,7103,3161,5219,5638,7469,8256,2021
29,Alemania,7062,2964,5104,5469,6500,9372,2021
30,Canadá,7008,3248,5212,6850,6396,8276,2021
31,Macao,6960,4439,5756,6628,4893,6760,2021
32,Puerto Rico,6951,1942,4558,7213,5812,6922,2021
33,Taiwán,6525,1792,4264,7911,2880,5608,2021
34,Catar,6423,4659,5580,5672,6258,9312,2021
35,Chipre,6405,2270,4429,5168,6631,5234,2021
36,Emiratos Árabes Unidos,6167,4062,5161,4884,6125,8574,2021
37,Grecia,6096,1305,3807,4766,5571,3895,2021
38,Eslovenia,5938,1888,4003,5146,4786,5614,2021
39,España,5909,2359,4213,4874,5699,6268,2021
40,Baréin,5770,2953,4424,4696,5227,5324,2021
41,Estonia,5645,1627,3725,4335,5627,6122,2021
42,Croacia,5636,1494,3657,4910,4613,4313,2021
43,Palestina,5588,998,3395,5024,3621,3910,2021
44,Cuba,5554,1489,3612,4693,3285,142,2021
45,Trinidad y Tobago,5548,1644,3683,5309,5221,3900,2021
46,Costa de Marfil,5461,2026,3820,4715,3450,632,2021
47,Etiopía,5430,1559,3580,3747,1817,1010,2021
48,Panamá,5407,2258,3902,5477,4548,3205,2021
49,Jamaica,5316,1593,3537,5594,3312,3221,2021
50,Portugal,5288,2231,3827,4201,4324,4496,2021
51,Letonia,5287,1317,3390,4136,4492,4594,2021
52,Mauricio,5257,1232,3334,5415,3756,2738,2021
53,Belice,5245,1156,3291,4782,3610,4571,2021
54,Jordania,5217,969,3187,4276,4208,3313,2021
55,Surinam,5186,1042,3206,5039,6259,1647,2021
56,Zimbabue,5152,944,3141,4556,3929,2210,2021
57,Yemen,5146,621,2984,6117,2362,1475,2021
58,Uruguay,5109,1356,3316,4083,4895,3062,2021
59,Costa Rica,5064,1452,3338,4803,4133,3901,2021
60,Omán,5018,1732,3448,4690,4188,8445,2021
61,Arabia Saudita,4995,1164,3164,4174,3198,8818,2021
62,Kuwait,4940,3143,4082,3587,4512,7532,2021
63,Brunéi,4935,2344,3697,4721,3586,8903,2021
64,Chile,4933,1466,3276,4182,4596,3333,2021
65,Tailandia,4932,1633,3356,5064,2419,3136,2021
66,República Checa,4918,1981,3515,4276,3468,5640,2021
67,Eslovaquia,4908,1743,3396,4296,3747,5039,2021
68,Fiyi,4854,1777,3384,5343,3855,3004,2021
69,Camboya,4791,1456,3198,4864,2310,1140,2021
70,Lituania,4766,1463,3188,3728,4596,5460,2021
71,Guatemala,4476,1524,3066,4168,3245,2564,2021
72,El Salvador,4457,1333,2964,4269,3333,2072,2021
73,Nicaragua,4277,799,2615,4107,2947,1669,2021
74,Hungría,4275,1275,2842,3546,3424,4981,2021
75,Camerún,4257,742,2578,4288,2467,1537,2021
76,China,4254,1642,3006,4549,2840,5747,2021
77,Honduras,4220,1063,2712,3513,2873,3106,2021
78,Polonia,4204,1809,3060,3345,3538,4709,2021
79,Sudáfrica,4169,1594,2938,3459,3722,7292,2021
80,República Dominicana,4154,981,2638,3612,3528,2172,2021
81,Montenegro,4143,1175,2725,3255,3254,3536,2021
82,Irán,4134,1788,3013,3626,2585,1900,2021
83,Namibia,4102,1429,2825,3567,3558,5328,2021
84,Bulgaria,4092,988,2609,3524,3188,4026,2021
85,Filipinas,4065,1041,2620,3891,2216,1971,2021
86,Ghana,4063,1844,3002,4121,3153,1519,2021
87,Botsuana,4041,1074,2623,3464,4152,6195,2021
88,Albania,4025,921,2542,3273,3071,2658,2021
89,Ecuador,4008,1203,2668,3642,2855,3054,2021
90,Malasia,3951,1077,2578,4020,2171,5610,2021
91,Serbia,3919,983,2517,2968,3059,3583,2021
92,Bosnia y Herzegovina,3856,713,2354,3184,2570,4256,2021
93,Rumania,3850,1076,2525,3345,3238,4519,2021
94,Birmania,3806,2171,3025,3959,2122,1067,2021
95,Vietnam,3805,1416,2663,3832,1903,2726,2021
96,Argentina,3787,849,2383,2920,3339,3456,2021
97,Indonesia,3744,1029,2447,3940,1799,2089,2021
98,Somalia,3742,590,2236,4446,2673,2723,2021
99,Marruecos,3685,972,2389,3278,2633,3217,2021
100,Kenia,3630,917,2333,3338,3050,2767,2021
101,Perú,3626,1225,2479,3383,2356,2881,2021
102,Bolivia,3611,1076,2399,3194,2524,3723,2021
103,Mozambique,3589,1512,2597,2907,2928,1640,2021
104,México,3505,1162,2386,3364,2892,3554,2021
105,Tanzania,3460,1311,2433,3062,2516,1605,2021
106,Macedonia del Norte,3415,672,2104,2846,2246,3197,2021
107,Ruanda,3407,1492,2492,2851,2854,2197,2021
108,Bangladés,3331,490,1974,3149,2039,2407,2021
109,Mongolia,3317,991,2205,3311,2335,2809,2021
110,Rusia,3317,977,2199,2781,3065,3461,2021
111,Irak,3272,976,2175,2748,2564,3975,2021
112,Moldavia,3268,865,2120,2607,2659,2699,2021
113,Uganda,3218,729,2029,2893,2200,1397,2021
114,Brasil,3182,812,2050,2541,2255,2866,2021
115,Armenia,3168,1036,2150,2456,2725,2613,2021
116,Turquía,3148,610,1935,2811,1991,3535,2021
117,Sri Lanka,3128,854,2042,3647,1654,2077,2021
118,Colombia,3100,996,2094,2628,2180,2613,2021
119,Azerbaiyán,3090,902,2045,2623,2866,2577,2021
120,Paraguay,3072,977,2071,2455,2434,2751,2021
121,Bielorrusia,3069,919,2042,2657,3103,3196,2021
122,Egipto,3010,597,1857,2653,2491,1999,2021
123,Kazajistán,2976,931,1999,2561,2580,3492,2021
